N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2s,word,poly,500,1000.0,7000,0.5003337783711616,3500
2s,word,poly,500,10000.0,6975,0.5083444592790387,3573
1,pos,linear,500,0.1,2710,0.8524699599465955,19671
1,pos,linear,500,1.0,2610,0.8548064085447263,210819
1,pos,linear,500,10.0,2595,0.8564753004005341,4131840
1,pos,linear,500,100.0,2588,0.8568090787716955,10000000
1,pos,linear,500,1000.0,2773,0.8554739652870494,10000000
1,pos,linear,500,10000.0,5656,0.5807743658210948,10000000
1,pos,rbf,500,0.1,3483,0.8361148197596796,2156
1,pos,rbf,500,1.0,2749,0.8674899866488651,3247
1,pos,rbf,500,10.0,2432,0.8701602136181575,14212
1,pos,rbf,500,100.0,2292,0.8504672897196262,83993
1,pos,rbf,500,1000.0,2132,0.8331108144192256,316455
1,pos,rbf,500,10000.0,1895,0.8177570093457944,966368
1,pos,poly,500,0.1,4273,0.770694259012016,13595
1,pos,poly,500,1.0,3648,0.8024032042723631,63847
1,pos,poly,500,10.0,3191,0.8334445927903872,535132
1,pos,poly,500,100.0,2701,0.8417890520694259,3378755
1,pos,poly,500,1000.0,2281,0.8377837116154874,10000000
1,pos,poly,500,10000.0,1910,0.8237650200267023,10000000
2,pos,linear,50,0.1,2228,0.8711615487316422,7265
2,pos,linear,50,1.0,2130,0.8691588785046729,106114
2,pos,linear,50,10.0,2120,0.8694926568758344,1917703
2,pos,linear,50,100.0,2124,0.8691588785046729,10000000
2,pos,linear,50,1000.0,2344,0.8661548731642189,10000000
2,pos,linear,50,10000.0,6300,0.5290387182910548,10000000
2,pos,rbf,50,0.1,3494,0.8641522029372497,2066
2,pos,rbf,50,1.0,2493,0.8758344459279038,2946
2,pos,rbf,50,10.0,2257,0.8778371161548731,13196
2,pos,rbf,50,100.0,2239,0.8741655540720962,70419
2,pos,rbf,50,1000.0,2103,0.8501335113484646,210601
2,pos,rbf,50,10000.0,1861,0.8347797062750334,396170
2,pos,poly,50,0.1,5581,0.6889185580774366,3723
2,pos,poly,50,1.0,4135,0.7990654205607477,5467
2,pos,poly,50,10.0,3072,0.8471295060080107,23149
2,pos,poly,50,100.0,2498,0.8641522029372497,63608
2,pos,poly,50,1000.0,2223,0.8534712950600801,243137
2,pos,poly,50,10000.0,1980,0.8361148197596796,470524
2,pos,linear,200,0.1,1896,0.9032042723631508,10888
2,pos,linear,200,1.0,1661,0.904539385847797,191686
2,pos,linear,200,10.0,1614,0.904539385847797,2748909
2,pos,linear,200,100.0,1607,0.9052069425901201,10000000
2,pos,linear,200,1000.0,1825,0.9055407209612817,10000000
2,pos,linear,200,10000.0,6427,0.7403204272363151,10000000
2,pos,rbf,200,0.1,4174,0.8704939919893191,2283
2,pos,rbf,200,1.0,2571,0.8965287049399199,2186
2,pos,rbf,200,10.0,1938,0.9068758344459279,6606
2,pos,rbf,200,100.0,1822,0.9058744993324432,34709
2,pos,rbf,200,1000.0,1806,0.8978638184245661,123946
2,pos,rbf,200,10000.0,1696,0.8825100133511349,302466
2,pos,poly,200,0.1,6970,0.5100133511348465,3534
2,pos,poly,200,1.0,6518,0.5907877169559412,3612
2,pos,poly,200,10.0,5227,0.7283044058744993,4019
2,pos,poly,200,100.0,3751,0.8314419225634179,6831
2,pos,poly,200,1000.0,2799,0.8818424566088118,10903
2,pos,poly,200,10000.0,2251,0.8871829105473965,28437
2s,word,linear,10000,0.1,4143,0.8778371161548731,5993
2s,word,linear,10000,1.0,2932,0.8791722296395194,13685
2s,word,linear,10000,10.0,2350,0.8634846461949266,15609
2s,word,linear,10000,100.0,2273,0.8554739652870494,16325
2s,word,linear,10000,1000.0,2203,0.8397863818424566,16648
2s,word,linear,10000,10000.0,2196,0.8397863818424566,20958
2s,word,rbf,10000,0.1,7000,0.5120160213618158,3500
2s,word,rbf,10000,1.0,7000,0.5120160213618158,3500
2s,word,rbf,10000,10.0,6825,0.5987983978638184,3449
2s,word,rbf,10000,100.0,5428,0.8080774365821095,3466
2s,word,rbf,10000,1000.0,3693,0.886849132176235,8495
2s,word,rbf,10000,10000.0,2719,0.8738317757009346,16376
2s,word,poly,10000,0.1,7000,0.4993324432576769,3500
2s,word,poly,10000,1.0,7000,0.4993324432576769,3500
2s,word,poly,10000,10.0,7000,0.4993324432576769,3500
2s,word,poly,10000,100.0,7000,0.4993324432576769,3500
2s,word,poly,10000,1000.0,7000,0.4993324432576769,3500
2s,word,poly,10000,10000.0,7000,0.4993324432576769,3500
2s,pos,linear,1000,0.1,2135,0.8961949265687583,10094
2s,pos,linear,1000,1.0,1700,0.907543391188251,151062
2s,pos,linear,1000,10.0,1489,0.9012016021361816,1867992
2s,pos,linear,1000,100.0,1379,0.8961949265687583,10000000
2s,pos,linear,1000,1000.0,1437,0.8908544726301736,10000000
2s,pos,linear,1000,10000.0,5260,0.8347797062750334,10000000
2s,pos,rbf,1000,0.1,5844,0.7696929238985314,3045
2s,pos,rbf,1000,1.0,3945,0.8571428571428571,2279
2s,pos,rbf,1000,10.0,2629,0.8865153538050734,3324
2s,pos,rbf,1000,100.0,1961,0.9035380507343124,15856
2s,pos,rbf,1000,1000.0,1712,0.9025367156208278,81765
2s,pos,rbf,1000,10000.0,1630,0.8881842456608812,378738
2s,pos,poly,1000,0.1,7000,0.5010013351134847,3500
2s,pos,poly,1000,1.0,7000,0.5010013351134847,3500
2s,pos,poly,1000,10.0,6975,0.5060080106809078,3531
2s,pos,poly,1000,100.0,6643,0.5647530040053405,3571
2s,pos,poly,1000,1000.0,5681,0.6725634178905207,4168
2s,pos,poly,1000,10000.0,4400,0.7887182910547397,8190
3,word,linear,100,0.1,5686,0.6829105473965287,2940
3,word,linear,100,1.0,4605,0.6925901201602136,2869
3,word,linear,100,10.0,4455,0.6925901201602136,4991
3,word,linear,100,100.0,4483,0.6925901201602136,5602
3,word,linear,100,1000.0,4508,0.6925901201602136,12402
3,word,linear,100,10000.0,4484,0.6925901201602136,94843
3,word,rbf,100,0.1,7000,0.5457276368491322,3500
3,word,rbf,100,1.0,6513,0.6151535380507344,3281
3,word,rbf,100,10.0,5126,0.6915887850467289,2787
3,word,rbf,100,100.0,4548,0.6919225634178905,5646
3,word,rbf,100,1000.0,4528,0.6919225634178905,10207
3,word,rbf,100,10000.0,4545,0.6909212283044058,17022
3,word,poly,100,0.1,7000,0.5083444592790387,3500
3,word,poly,100,1.0,7000,0.5083444592790387,3500
3,word,poly,100,10.0,7000,0.5083444592790387,3500
3,word,poly,100,100.0,7000,0.5083444592790387,3500
3,word,poly,100,1000.0,6966,0.5123497997329773,3495
3,word,poly,100,10000.0,6564,0.592456608811749,3389
2,word,linear,200,0.1,1793,0.9132176234979973,4196
2,word,linear,200,1.0,1299,0.92456608811749,3715
2,word,linear,200,10.0,1407,0.9248998664886515,11335
2,word,linear,200,100.0,1441,0.9248998664886515,53597
2,word,linear,200,1000.0,1434,0.9248998664886515,470732
2,word,linear,200,10000.0,1404,0.9248998664886515,4712632
2,word,rbf,200,0.1,6737,0.7389853137516689,3374
2,word,rbf,200,1.0,3390,0.8768357810413885,2491
