N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
1p,word,poly,100,1000.0,1591,0.9082109479305741,52422
1p,word,poly,100,10000.0,1359,0.8858477970627503,261059
1p,word,poly,100,100000.0,1247,0.8744993324432577,1725780
1p,word,poly,100,1000000.0,1132,0.8681575433911882,10000000
2p,word,poly,50,0.1,7000,0.5010013351134847,3500
2p,word,poly,50,1.0,6881,0.562082777036048,3461
2p,word,poly,50,10.0,4535,0.8581441922563418,3318
2p,word,poly,50,100.0,2256,0.8985313751668892,4029
2p,word,poly,50,1000.0,1722,0.8998664886515354,15200
2p,word,poly,50,10000.0,1641,0.8935246995994659,102253
2p,word,poly,50,100000.0,1657,0.8911882510013351,219527
2p,word,poly,50,1000000.0,1674,0.8891855807743658,10000000
2sp,pos,poly,500,0.1,6996,0.5036715620827771,3499
2sp,pos,poly,500,1.0,6461,0.6051401869158879,3303
2sp,pos,poly,500,10.0,5125,0.7563417890520694,2875
2sp,pos,poly,500,100.0,3612,0.8548064085447263,4897
2sp,pos,poly,500,1000.0,2594,0.8901869158878505,14973
2sp,pos,poly,500,10000.0,2120,0.8921895861148198,31980
2sp,pos,poly,500,100000.0,1870,0.8761682242990654,83441
2sp,pos,poly,500,1000000.0,1728,0.8538050734312417,297096
2p,pos,poly,200,0.1,6586,0.6001335113484646,3328
2p,pos,poly,200,1.0,5060,0.7887182910547397,2915
2p,pos,poly,200,10.0,3269,0.8711615487316422,3905
2p,pos,poly,200,100.0,2342,0.8988651535380507,11745
2p,pos,poly,200,1000.0,1978,0.8991989319092123,29250
2p,pos,poly,200,10000.0,1796,0.8838451268357811,77109
2p,pos,poly,200,100000.0,1670,0.8641522029372497,209315
2p,pos,poly,200,1000000.0,1504,0.8518024032042724,782703
1p,word,poly,500,0.1,7000,0.5023364485981309,3500
1p,word,poly,500,1.0,6930,0.5390520694259012,3479
1p,word,poly,500,10.0,5763,0.7279706275033377,3091
1p,word,poly,500,100.0,3780,0.8765020026702269,2970
1p,word,poly,500,1000.0,2297,0.920894526034713,4065
1p,word,poly,500,10000.0,1642,0.9242323097463284,11085
1p,word,poly,500,100000.0,1414,0.9205607476635514,17015
1p,word,poly,500,1000000.0,1265,0.9068758344459279,43529
2p,word,poly,10000,0.1,7000,0.5013351134846462,3500
2p,word,poly,10000,1.0,7000,0.5013351134846462,3500
2p,word,poly,10000,10.0,7000,0.5013351134846462,3500
2p,word,poly,10000,100.0,7000,0.5013351134846462,3500
2p,word,poly,10000,1000.0,7000,0.5013351134846462,3500
2p,word,poly,10000,10000.0,6999,0.5086782376502003,3508
2p,word,poly,10000,100000.0,6534,0.7797062750333779,4325
2p,word,poly,10000,1000000.0,4690,0.8901869158878505,7430
2sp,pos,poly,1000,0.1,7000,0.4993324432576769,3500
2sp,pos,poly,1000,1.0,6902,0.5337116154873164,3468
2sp,pos,poly,1000,10.0,5949,0.6702269692923899,3104
2sp,pos,poly,1000,100.0,4466,0.8107476635514018,3227
2sp,pos,poly,1000,1000.0,3119,0.8744993324432577,6480
2sp,pos,poly,1000,10000.0,2345,0.8981975967957276,17778
2sp,pos,poly,1000,100000.0,1995,0.8911882510013351,37894
2sp,pos,poly,1000,1000000.0,1818,0.8664886515353805,106006
3p,word,poly,5000,0.1,7000,0.5544058744993324,3500
3p,word,poly,5000,1.0,7000,0.5544058744993324,3500
3p,word,poly,5000,10.0,7000,0.5544058744993324,3500
3p,word,poly,5000,100.0,7000,0.5544058744993324,3500
3p,word,poly,5000,1000.0,7000,0.5544058744993324,3500
3p,word,poly,5000,10000.0,7000,0.5544058744993324,3500
3p,word,poly,5000,100000.0,6966,0.548064085447263,3744
3p,word,poly,5000,1000000.0,6269,0.6815754339118825,6399
2sp,word,poly,200,0.1,7000,0.5003337783711616,3500
2sp,word,poly,200,1.0,7000,0.5003337783711616,3500
2sp,word,poly,200,10.0,6984,0.5050066755674232,3502
2sp,word,poly,200,100.0,6501,0.6124833110814419,3380
2sp,word,poly,200,1000.0,5247,0.7316421895861148,3619
2sp,word,poly,200,10000.0,3973,0.7777036048064085,8051
2sp,word,poly,200,100000.0,3283,0.7686915887850467,19095
2sp,word,poly,200,1000000.0,3126,0.7700267022696929,55163
1p,word,poly,200,0.1,6983,0.5166889185580774,3498
1p,word,poly,200,1.0,6121,0.6765687583444593,3123
1p,word,poly,200,10.0,4181,0.8511348464619493,2587
1p,word,poly,200,100.0,2550,0.9078771695594126,4390
1p,word,poly,200,1000.0,1719,0.9195594125500668,11140
1p,word,poly,200,10000.0,1388,0.9132176234979973,51266
1p,word,poly,200,100000.0,1199,0.8931909212283045,132752
1p,word,poly,200,1000000.0,1173,0.8881842456608812,606704
2p,word,poly,500,0.1,7000,0.5006675567423231,3500
2p,word,poly,500,1.0,7000,0.5006675567423231,3500
2p,word,poly,500,10.0,7000,0.5006675567423231,3500
2p,word,poly,500,100.0,6869,0.5977970627503337,3476
2p,word,poly,500,1000.0,4532,0.8701602136181575,3162
2p,word,poly,500,10000.0,2402,0.9152202937249666,4027
2p,word,poly,500,100000.0,1668,0.9279038718291055,6743
2p,word,poly,500,1000000.0,1435,0.9202269692923899,7292
1p,pos,poly,50,0.1,3867,0.8240987983978638,3081
1p,pos,poly,50,1.0,3182,0.8531375166889186,11911
1p,pos,poly,50,10.0,2796,0.8654873164218959,205006
1p,pos,poly,50,100.0,2528,0.8654873164218959,2171953
1p,pos,poly,50,1000.0,2366,0.8591455273698264,10000000
1p,pos,poly,50,10000.0,2321,0.855807743658211,10000000
1p,pos,poly,50,100000.0,4335,0.7576769025367156,10000000
1p,pos,poly,50,1000000.0,4198,0.7112817089452603,10000000
1p,pos,poly,100,0.1,3867,0.8240987983978638,3081
1p,pos,poly,100,1.0,3182,0.8531375166889186,11911
1p,pos,poly,100,10.0,2796,0.8654873164218959,205006
1p,pos,poly,100,100.0,2528,0.8654873164218959,2171953
1p,pos,poly,100,1000.0,2366,0.8591455273698264,10000000
1p,pos,poly,100,10000.0,2321,0.855807743658211,10000000
1p,pos,poly,100,100000.0,4335,0.7576769025367156,10000000
1p,pos,poly,100,1000000.0,4198,0.7112817089452603,10000000
2sp,word,poly,5000,0.1,7000,0.5013351134846462,3500
2sp,word,poly,5000,1.0,7000,0.5013351134846462,3500
2sp,word,poly,5000,10.0,7000,0.5013351134846462,3500
2sp,word,poly,5000,100.0,7000,0.5013351134846462,3500
2sp,word,poly,5000,1000.0,7000,0.5013351134846462,3500
2sp,word,poly,5000,10000.0,6962,0.5257009345794392,3599
2sp,word,poly,5000,100000.0,6393,0.6839118825100133,4745
2sp,word,poly,5000,1000000.0,5161,0.8157543391188251,9157
3p,pos,poly,500,0.1,7000,0.5010013351134847,3500
3p,pos,poly,500,1.0,6996,0.5056742323097463,3498
3p,pos,poly,500,10.0,6392,0.6658878504672897,3299
3p,pos,poly,500,100.0,4318,0.8391188251001335,3275
3p,pos,poly,500,1000.0,2983,0.8915220293724967,6087
3p,pos,poly,500,10000.0,2522,0.897196261682243,12783
3p,pos,poly,500,100000.0,2266,0.886849132176235,22711
3p,pos,poly,500,1000000.0,2055,0.8694926568758344,18059
1p,pos,poly,1000,0.1,3867,0.8240987983978638,3081
1p,pos,poly,1000,1.0,3182,0.8531375166889186,11911
1p,pos,poly,1000,10.0,2796,0.8654873164218959,205006
1p,pos,poly,1000,100.0,2528,0.8654873164218959,2171953
1p,pos,poly,1000,1000.0,2366,0.8591455273698264,10000000
1p,pos,poly,1000,10000.0,2321,0.855807743658211,10000000
1p,pos,poly,1000,100000.0,4335,0.7576769025367156,10000000
1p,pos,poly,1000,1000000.0,4198,0.7112817089452603,10000000
2p,pos,poly,1000,0.1,7000,0.5,3500
2p,pos,poly,1000,1.0,6881,0.5430574098798397,3455
2p,pos,poly,1000,10.0,5740,0.7273030707610146,2997
2p,pos,poly,1000,100.0,3866,0.8524699599465955,3078
2p,pos,poly,1000,1000.0,2608,0.8965287049399199,5256
2p,pos,poly,1000,10000.0,2105,0.9055407209612817,16958
2p,pos,poly,1000,100000.0,1892,0.8981975967957276,40599
2p,pos,poly,1000,1000000.0,1758,0.8765020026702269,155155
2p,word,poly,100,0.1,7000,0.5006675567423231,3500
2p,word,poly,100,1.0,6998,0.5013351134846462,3499
2p,word,poly,100,10.0,6403,0.7630173564753004,3299
2p,word,poly,100,100.0,3326,0.8815086782376502,4754
2p,word,poly,100,1000.0,1894,0.9092122830440588,9328
2p,word,poly,100,10000.0,1543,0.9058744993324432,17197
2p,word,poly,100,100000.0,1481,0.8945260347129506,65017
2p,word,poly,100,1000000.0,1512,0.8928571428571429,124545
1p,word,poly,10000,0.1,7000,0.5023364485981309,3500
1p,word,poly,10000,1.0,7000,0.5023364485981309,3500
1p,word,poly,10000,10.0,7000,0.5023364485981309,3500
1p,word,poly,10000,100.0,7000,0.5023364485981309,3500
1p,word,poly,10000,1000.0,6651,0.6021361815754339,3357
1p,word,poly,10000,10000.0,5005,0.8040720961281709,2996
1p,word,poly,10000,100000.0,3209,0.904539385847797,4309
1p,word,poly,10000,1000000.0,2424,0.9295727636849133,5784
