N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2sp,pos,poly,200,10.0,6506,0.5747663551401869,4470
2sp,pos,poly,200,100.0,5645,0.6538718291054739,6721
2sp,pos,poly,200,1000.0,4581,0.7479973297730307,14529
2sp,pos,poly,200,10000.0,3556,0.8134178905206942,29814
2sp,pos,poly,200,100000.0,2759,0.8444592790387183,46051
2sp,pos,poly,200,1000000.0,2383,0.8417890520694259,76982
3p,pos,poly,50,0.1,6970,0.5053404539385847,3629
3p,pos,poly,50,1.0,6735,0.5450600801068091,3862
3p,pos,poly,50,10.0,5883,0.6455273698264352,4812
3p,pos,poly,50,100.0,4630,0.7479973297730307,9645
3p,pos,poly,50,1000.0,3481,0.8057409879839786,30645
3p,pos,poly,50,10000.0,2889,0.8174232309746329,67833
3p,pos,poly,50,100000.0,2520,0.8124165554072096,115262
3p,pos,poly,50,1000000.0,2324,0.7970627503337784,133048
3p,word,poly,1000,0.1,7000,0.5006675567423231,3500
3p,word,poly,1000,1.0,7000,0.5006675567423231,3500
3p,word,poly,1000,10.0,7000,0.5006675567423231,3500
3p,word,poly,1000,100.0,7000,0.5006675567423231,3500
3p,word,poly,1000,1000.0,7000,0.5006675567423231,3500
3p,word,poly,1000,10000.0,7000,0.5006675567423231,3500
3p,word,poly,1000,100000.0,7000,0.5006675567423231,3500
3p,word,poly,1000,1000000.0,7000,0.5006675567423231,3500
3p,pos,poly,200,0.1,7000,0.4993324432576769,3500
3p,pos,poly,200,1.0,7000,0.4993324432576769,3514
3p,pos,poly,200,10.0,6987,0.5040053404539386,3574
3p,pos,poly,200,100.0,6863,0.5280373831775701,4038
3p,pos,poly,200,1000.0,6300,0.6164886515353805,5781
3p,pos,poly,200,10000.0,5211,0.7299732977303071,10946
3p,pos,poly,200,100000.0,4033,0.8154205607476636,16166
3p,pos,poly,200,1000000.0,3270,0.8481308411214953,21851
1p,word,poly,5000,0.1,7000,0.49966622162883845,3500
1p,word,poly,5000,1.0,7000,0.49966622162883845,3500
1p,word,poly,5000,10.0,7000,0.49966622162883845,3500
1p,word,poly,5000,100.0,7000,0.49966622162883845,3500
1p,word,poly,5000,1000.0,7000,0.49966622162883845,3500
1p,word,poly,5000,10000.0,7000,0.49966622162883845,3500
1p,word,poly,5000,100000.0,6998,0.5006675567423231,3536
1p,word,poly,5000,1000000.0,6977,0.514018691588785,3614
2p,word,poly,5000,0.1,7000,0.4993324432576769,3500
2p,word,poly,5000,1.0,7000,0.4993324432576769,3500
2p,word,poly,5000,10.0,7000,0.4993324432576769,3500
2p,word,poly,5000,100.0,7000,0.4993324432576769,3500
2p,word,poly,5000,1000.0,7000,0.4993324432576769,3500
2p,word,poly,5000,10000.0,7000,0.4993324432576769,3500
2p,word,poly,5000,100000.0,7000,0.4993324432576769,3500
2p,word,poly,5000,1000000.0,7000,0.4993324432576769,3500
3p,word,poly,200,0.1,7000,0.4993324432576769,3500
3p,word,poly,200,1.0,7000,0.4993324432576769,3500
3p,word,poly,200,10.0,7000,0.4993324432576769,3500
3p,word,poly,200,100.0,7000,0.4993324432576769,3500
3p,word,poly,200,1000.0,7000,0.4993324432576769,3500
3p,word,poly,200,10000.0,7000,0.4993324432576769,3500
3p,word,poly,200,100000.0,7000,0.5130173564753004,3538
3p,word,poly,200,1000000.0,6899,0.5153538050734312,3602
2sp,word,poly,50,0.1,7000,0.5003337783711616,3500
2sp,word,poly,50,1.0,7000,0.5003337783711616,3500
2sp,word,poly,50,10.0,7000,0.5003337783711616,3507
2sp,word,poly,50,100.0,6983,0.503004005340454,3560
2sp,word,poly,50,1000.0,6863,0.5350467289719626,3986
2sp,word,poly,50,10000.0,6365,0.5887850467289719,4628
2sp,word,poly,50,100000.0,5665,0.6278371161548731,9836
2sp,word,poly,50,1000000.0,4982,0.6628838451268357,27474
1p,word,poly,100,0.1,6985,0.5040053404539386,3529
1p,word,poly,100,1.0,6870,0.5323765020026703,3542
1p,word,poly,100,10.0,6378,0.592456608811749,4027
1p,word,poly,100,100.0,5365,0.6875834445927904,5434
1p,word,poly,100,1000.0,4070,0.7870493991989319,7539
1p,word,poly,100,10000.0,2985,0.8611481975967957,20483
1p,word,poly,100,100000.0,2126,0.8861815754339119,50325
1p,word,poly,100,1000000.0,1737,0.8748331108144193,112418
2p,word,poly,50,0.1,7000,0.5003337783711616,3500
2p,word,poly,50,1.0,7000,0.5003337783711616,3500
2p,word,poly,50,10.0,6999,0.5003337783711616,3500
2p,word,poly,50,100.0,6958,0.5076769025367156,3559
2p,word,poly,50,1000.0,6648,0.5720961281708945,3719
2p,word,poly,50,10000.0,5251,0.8074098798397864,4473
2p,word,poly,50,100000.0,2872,0.8788384512683578,7208
2p,word,poly,50,1000000.0,1901,0.8885180240320427,23144
2sp,pos,poly,500,0.1,7000,0.4993324432576769,3500
2sp,pos,poly,500,1.0,6999,0.5,3517
2sp,pos,poly,500,10.0,6982,0.5196929238985314,3597
2sp,pos,poly,500,100.0,6793,0.5370493991989319,3858
2sp,pos,poly,500,1000.0,6198,0.6014686248331108,5104
2sp,pos,poly,500,10000.0,5202,0.6915887850467289,7779
2sp,pos,poly,500,100000.0,4195,0.780373831775701,18058
2sp,pos,poly,500,1000000.0,3234,0.8371161548731643,34963
2p,pos,poly,200,0.1,6996,0.548064085447263,3557
2p,pos,poly,200,1.0,6894,0.5226969292389854,3725
2p,pos,poly,200,10.0,6374,0.5951268357810414,4098
2p,pos,poly,200,100.0,5304,0.6912550066755674,6716
2p,pos,poly,200,1000.0,4139,0.7903871829105474,12928
2p,pos,poly,200,10000.0,3185,0.8494659546061415,22133
2p,pos,poly,200,100000.0,2531,0.8644859813084113,40106
2p,pos,poly,200,1000000.0,2203,0.8601468624833111,66467
1p,word,poly,500,0.1,7000,0.5003337783711616,3500
1p,word,poly,500,1.0,7000,0.5003337783711616,3500
1p,word,poly,500,10.0,6999,0.5006675567423231,3509
